"statement","label"
"rabbits are not reptiles","True"
"rabbits are not fish","True"
"rabbits are not birds","True"
"rabbits are not snakes","True"
"rabbits are not frogs","True"
"rabbits have long ears","True"
"rabbits have fur","True"
"rabbits have four legs","True"
"rabbits have whiskers","True"
"rabbits have tails","True"
"rabbits are made of flesh","True"
"rabbits are made of bone","True"
"rabbits are made of blood","True"
"rabbits are made of skin","True"
"rabbits are made of muscle","True"
"rabbits can hop","True"
"rabbits can run","True"
"rabbits can dig","True"
"rabbits can jump","True"
"rabbits can chew","True"
"rabbits eat carrots","True"
"rabbits eat grass","True"
"rabbits eat lettuce","True"
"rabbits eat hay","True"
"rabbits eat leaves","True"
"rabbits live in burrows","True"
"rabbits live in fields","True"
"rabbits live in forests","True"
"rabbits live in meadows","True"
"rabbits live in hutches","True"
"rabbits are bigger than mice","True"
"rabbits are bigger than frogs","True"
"rabbits are bigger than snakes","True"
"rabbits are bigger than chickens","True"
"rabbits are bigger than fish","True"
"rabbits are faster than snakes","True"
"rabbits are faster than mice","True"
"rabbits are faster than frogs","True"
"rabbits are faster than cows","True"
"rabbits are faster than chickens","True"
"horses are mammals","True"
"horses are animals","True"
"horses are vertebrates","True"
"horses are herbivores","True"
"horses are quadrupeds","True"
"horses are like cows","True"
"horses are like dogs","True"
"horses are like cats","True"
"horses are like rabbits","True"
"horses are like mice","True"
"horses are not reptiles","True"
"horses are not birds","True"
"horses are not fish","True"
"horses are not carnivores","True"
"horses are not insects","True"
"horses have hooves","True"
"horses have manes","True"
"horses have tails","True"
"horses have four legs","True"
"horses have teeth","True"
"horses are made of flesh","True"
"horses are made of bone","True"
"horses are made of muscle","True"
"horses are made of skin","True"
"horses are made of hair","True"
"horses can gallop","True"
"horses can trot","True"
"horses can jump","True"
"horses can walk","True"
"horses can swim","True"
"horses eat hay","True"
"horses eat grass","True"
"horses eat oats","True"
"horses eat apples","True"
"horses eat carrots","True"
"horses live in stables","True"
"horses live in barns","True"
"horses live in pastures","True"
"horses live in fields","True"
"horses live in paddocks","True"
"horses are bigger than dogs","True"
"horses are bigger than cats","True"
"horses are bigger than rabbits","True"
"horses are bigger than chickens","True"
"horses are bigger than mice","True"
"horses are faster than snakes","True"
"horses are faster than cows","True"
"horses are faster than chickens","True"
"horses are faster than cats","True"
"horses are faster than frogs","True"
"cows are mammals","True"
"cows are animals","True"
"cows are vertebrates","True"
"cows are herbivores","True"
"cows are livestock","True"
"cows are like horses","True"
"cows are like bison","True"
"cows are like yaks","True"
"cows are like oxen","True"
"cows are like goats","True"
"cows are not reptiles","True"
"cows are not birds","True"
"cows are not fish","True"
"cows are not carnivores","True"
"cows are not insects","True"
"cows have udders","True"
"cows have hooves","True"
"cows have horns","True"
"cows have tails","True"
"cows have four stomachs","True"
"cows are made of flesh","True"
"cows are made of bone","True"
"cows are made of muscle","True"
"cows are made of skin","True"
"cows are made of cells","True"
"cows can moo","True"
"cows can walk","True"
"cows can run","True"
"cows can swim","True"
"cows can chew","True"
"cows eat grass","True"
"cows eat hay","True"
"cows eat grain","True"
"cows eat corn","True"
"cows eat plants","True"
"cows live in fields","True"
"cows live in pastures","True"
"cows live in barns","True"
"cows live in meadows","True"
"cows live in farms","True"
"cows are bigger than dogs","True"
"cows are bigger than cats","True"
"cows are bigger than rabbits","True"
"cows are bigger than chickens","True"
"cows are bigger than mice","True"
"cows are faster than mice","True"
"cows are faster than chickens","True"
"cows are faster than frogs","True"
"cows are faster than fish","True"
"cows are faster than snakes","True"
"mice are mammals","True"
"mice are animals","True"
"mice are rodents","True"
"mice are vertebrates","True"
"mice are warm-blooded","True"
"mice are like rats","True"
"mice are like hamsters","True"
"mice are like squirrels","True"
"mice are like gerbils","True"
"mice are like voles","True"
"mice are not reptiles","True"
"mice are not birds","True"
"mice are not fish","True"
"mice are not insects","True"
"mice are not plants","True"
"mice have whiskers","True"
"mice have tails","True"
"mice have fur","True"
"mice have teeth","True"
"mice have ears","True"
"mice are made of flesh","True"
"mice are made of bone","True"
"mice are made of skin","True"
"mice are made of blood","True"
"mice are made of muscle","True"
"mice can squeak","True"
"mice can run","True"
"mice can climb","True"
"mice can chew","True"
"mice can swim","True"
"mice eat cheese","True"
"mice eat seeds","True"
"mice eat grains","True"
"mice eat fruit","True"
"mice eat insects","True"
"mice live in holes","True"
"mice live in walls","True"
"mice live in fields","True"
"mice live in barns","True"
"mice live in burrows","True"
"mice are bigger than insects","True"
"mice are bigger than ants","True"
"mice are bigger than beetles","True"
"mice are bigger than spiders","True"
"mice are bigger than flies","True"
"mice are faster than snails","True"
"mice are faster than worms","True"
"mice are faster than frogs","True"
"mice are faster than fish","True"
"mice are faster than turtles","True"
"chickens are birds","True"
"chickens are animals","True"
"chickens are vertebrates","True"
"chickens are omnivores","True"
"chickens are poultry","True"
"chickens are like turkeys","True"
"chickens are like ducks","True"
"chickens are like geese","True"
"chickens are like pheasants","True"
"chickens are like quail","True"
"chickens are not mammals","True"
"chickens are not reptiles","True"
"chickens are not fish","True"
"chickens are not insects","True"
"chickens are not plants","True"
"chickens have feathers","True"
"chickens have beaks","True"
"chickens have wings","True"
"chickens have two legs","True"
"chickens have claws","True"
"chickens are made of flesh","True"
"chickens are made of bone","True"
"chickens are made of muscle","True"
"chickens are made of skin","True"
"chickens are made of feathers","True"
"chickens can lay eggs","True"
"chickens can cluck","True"
"chickens can peck","True"
"chickens can scratch","True"
"chickens can flap","True"
"chickens eat seeds","True"
"chickens eat grain","True"
"chickens eat insects","True"
"chickens eat worms","True"
"chickens eat corn","True"
"chickens live in coops","True"
"chickens live in farms","True"
"chickens live in barns","True"
"chickens live in yards","True"
"chickens live in henhouses","True"
"chickens are bigger than mice","True"
"chickens are bigger than frogs","True"
"chickens are bigger than fish","True"
"chickens are bigger than snails","True"
"chickens are bigger than worms","True"
"chickens are faster than mice","True"
"chickens are faster than snakes","True"
"chickens are faster than frogs","True"
"chickens are faster than fish","True"
"chickens are faster than turtles","True"
"fish are animals","True"
"fish are vertebrates","True"
"fish are aquatic","True"
"fish are cold-blooded","True"
"fish are swimmers","True"
"fish are like snakes","True"
"fish are like frogs","True"
"fish are like rays","True"
"fish are like dolphins","True"
"fish are like whales","True"
"fish are not mammals","True"
"fish are not reptiles","True"
"fish are not birds","True"
"fish are not insects","True"
"fish are not plants","True"
"fish have fins","True"
"fish have scales","True"
"fish have gills","True"
"fish have tails","True"
"fish have eyes","True"
"fish are made of flesh","True"
"fish are made of bone","True"
"fish are made of muscle","True"
"fish are made of skin","True"
"fish are made of scales","True"
"fish can swim","True"
"fish can breathe water","True"
"fish can dive","True"
"fish can float","True"
"fish can dart","True"
"fish eat plankton","True"
"fish eat algae","True"
"fish eat worms","True"
"fish eat insects","True"
"fish eat smaller fish","True"
"fish live in water","True"
"fish live in oceans","True"
"fish live in rivers","True"
"fish live in lakes","True"
"fish live in ponds","True"
"fish are bigger than mice","True"
"fish are bigger than frogs","True"
"fish are bigger than snails","True"
"fish are bigger than plankton","True"
"fish are bigger than shrimp","True"
"fish are faster than mice","True"
"fish are faster than worms","True"
"fish are faster than turtles","True"
"fish are faster than crabs","True"
"fish are faster than frogs","True"
"snakes are reptiles","True"
"snakes are animals","True"
"snakes are vertebrates","True"
"snakes are carnivores","True"
"snakes are cold-blooded","True"
"snakes are like fish","True"
"snakes are like lizards","True"
"snakes are like worms","True"
"snakes are like serpents","True"
"snakes are like vipers","True"
"snakes are not mammals","True"
"snakes are not birds","True"
"snakes are not fish","True"
"snakes are not insects","True"
"snakes are not plants","True"
"snakes have scales","True"
"snakes have fangs","True"
"snakes have tongues","True"
"snakes have tails","True"
"snakes have eyes","True"
"snakes are made of flesh","True"
"snakes are made of bone","True"
"snakes are made of muscle","True"
"snakes are made of skin","True"
"snakes are made of scales","True"
"snakes can slither","True"
"snakes can hiss","True"
"snakes can bite","True"
"snakes can swim","True"
"snakes can climb","True"
"snakes eat mice","True"
"snakes eat frogs","True"
"snakes eat eggs","True"
"snakes eat insects","True"
"snakes eat fish","True"
"snakes live in grass","True"
"snakes live in burrows","True"
"snakes live in forests","True"
"snakes live in deserts","True"
"snakes live in trees","True"
"snakes are bigger than worms","True"
"snakes are bigger than mice","True"
"snakes are bigger than insects","True"
"snakes are bigger than frogs","True"
"snakes are bigger than snails","True"
"snakes are faster than snails","True"
"snakes are faster than worms","True"
"snakes are faster than turtles","True"
"snakes are faster than slugs","True"
"snakes are faster than frogs","True"
"frogs are amphibians","True"
"frogs are animals","True"
"frogs are vertebrates","True"
"frogs are carnivores","True"
"frogs are cold-blooded","True"
"frogs are like toads","True"
"frogs are like salamanders","True"
"frogs are like newts","True"
"frogs are like tadpoles","True"
"frogs are like axolotls","True"
"frogs are not mammals","True"
"frogs are not reptiles","True"
"frogs are not birds","True"
"frogs are not fish","True"
"frogs are not insects","True"
"frogs have webbed feet","True"
"frogs have long tongues","True"
"frogs have smooth skin","True"
"frogs have bulging eyes","True"
"frogs have strong legs","True"
"frogs are made of flesh","True"
"frogs are made of bone","True"
"frogs are made of muscle","True"
"frogs are made of skin","True"
"frogs are made of cells","True"
"frogs can jump","True"
"frogs can swim","True"
"frogs can croak","True"
"frogs can climb","True"
"frogs can hop","True"
"frogs eat insects","True"
"frogs eat flies","True"
"frogs eat worms","True"
"frogs eat spiders","True"
"frogs eat snails","True"
"frogs live in ponds","True"
"frogs live in swamps","True"
"frogs live in lakes","True"
"frogs live in marshes","True"
"frogs live in rivers","True"
"frogs are bigger than mice","True"
"frogs are bigger than ants","True"
"frogs are bigger than spiders","True"
"frogs are bigger than flies","True"
"frogs are bigger than snails","True"
"frogs are faster than mice","True"
"frogs are faster than worms","True"
"frogs are faster than turtles","True"
"frogs are faster than slugs","True"
"frogs are faster than ants","True"
"dogs are reptiles","False"
"dogs are fish","False"
"dogs are insects","False"
"dogs are amphibians","False"
"dogs are plants","False"
"dogs are like snakes","False"
"dogs are like chickens","False"
"dogs are like rabbits in behavior","False"
"dogs are like fish in habitat preference","False"
"dogs are like frogs in movement","False"
"dogs are not mammals","False"
"dogs are not animals","False"
"dogs are not vertebrates","False"
"dogs are not carnivores","False"
"dogs are not quadrupeds","False"
"dogs have feathers","False"
"dogs have gills","False"
"dogs have scales","False"
"dogs have antennae","False"
"dogs have hooves","False"
"dogs are made of metal","False"
"dogs are made of plastic","False"
"dogs are made of stone","False"
"dogs are made of glass","False"
"dogs are made of water","False"
"dogs can fly","False"
"dogs can photosynthesize","False"
"dogs can breathe underwater","False"
"dogs can climb trees like cats","False"
"dogs can hibernate for months","False"
"dogs eat grass exclusively","False"
"dogs eat wood","False"
"dogs eat insects like chickens","False"
"dogs eat fish scales","False"
"dogs eat leaves like horses","False"
"dogs live in oceans","False"
"dogs live in volcanoes","False"
"dogs live in deserts exclusively","False"
"dogs live underground like mice","False"
"dogs live in rivers year-round","False"
"dogs are bigger than horses","False"
"dogs are bigger than cows","False"
"dogs are bigger than elephants","False"
"dogs are bigger than whales","False"
"dogs are bigger than humans on average","False"
"dogs are faster than cheetahs","False"
"dogs are faster than horses at full sprint","False"
"dogs are faster than falcons in flight","False"
"dogs are faster than rabbits","False"
"dogs are faster than fish in water","False"
"cats are reptiles","False"
"cats are amphibians","False"
"cats are insects","False"
"cats are fish","False"
"cats are birds","False"
"cats are like snakes","False"
"cats are like fish","False"
"cats are like chickens","False"
"cats are like frogs","False"
"cats are like cows","False"
"cats are not mammals","False"
"cats are not animals","False"
"cats are not vertebrates","False"
"cats are not carnivores","False"
"cats are not warm-blooded","False"
"cats have feathers","False"
"cats have scales","False"
"cats have gills","False"
"cats have fins","False"
"cats have hooves","False"
"cats are made of scales","False"
"cats are made of feathers","False"
"cats are made of wood","False"
"cats are made of stone","False"
"cats are made of glass","False"
"cats can fly","False"
"cats can breathe underwater","False"
"cats can hibernate for months","False"
"cats can climb trees without claws","False"
"cats can run backwards faster than forwards","False"
"cats eat grass","False"
"cats eat seeds","False"
"cats eat leaves","False"
"cats eat insects exclusively","False"
"cats eat hay","False"
"cats live in oceans","False"
"cats live in deserts exclusively","False"
"cats live in rivers","False"
"cats live in forests without any shelter","False"
"cats live in ponds","False"
"cats are bigger than horses","False"
"cats are bigger than cows","False"
"cats are bigger than rabbits","False"
"cats are bigger than dogs","False"
"cats are faster than horses","False"
"cats are faster than dogs","False"
"cats are faster than rabbits","False"
"cats are faster than fish","False"
"rabbits are reptiles","False"
"rabbits are birds","False"
"rabbits are fish","False"
"rabbits are insects","False"
"rabbits are plants","False"
"rabbits are like snakes","False"
"rabbits are like chickens","False"
"rabbits are like fish","False"
"rabbits are like cows in size","False"
"rabbits are like horses in speed","False"
"rabbits are not mammals","False"
"rabbits are not animals","False"
"rabbits are not vertebrates","False"
"rabbits are not herbivores","False"
"rabbits are not warm-blooded","False"
"rabbits have feathers","False"
"rabbits have scales","False"
"rabbits have gills","False"
"rabbits have hooves","False"
"rabbits have fins","False"
"rabbits are made of scales","False"
"rabbits are made of feathers","False"
"rabbits are made of chitin","False"
"rabbits are made of steel","False"
"rabbits are made of glass","False"
"rabbits can fly","False"
"rabbits can swim underwater indefinitely","False"
"rabbits can breathe in water","False"
"rabbits can see in complete darkness","False"
"rabbits can change their color at will","False"
"rabbits eat meat","False"
"rabbits eat fish","False"
"rabbits eat other rabbits","False"
"rabbits eat insects","False"
"rabbits eat rocks","False"
"rabbits live in oceans","False"
"rabbits live in trees","False"
"rabbits live in rivers","False"
"rabbits live in volcanoes","False"
"rabbits live in clouds","False"
"rabbits are bigger than horses","False"
"rabbits are bigger than cows","False"
"rabbits are bigger than dogs","False"
"rabbits are bigger than elephants","False"
"rabbits are faster than horses","False"
"rabbits are faster than dogs","False"
"rabbits are faster than cheetahs","False"
"rabbits are faster than falcons","False"
"horses are reptiles","False"
"horses are fish","False"
"horses are birds","False"
"horses are insects","False"
"horses are amphibians","False"
"horses are like snakes","False"
"horses are like chickens","False"
"horses are like frogs","False"
"horses are like fish","False"
"horses are not mammals","False"
"horses are not animals","False"
"horses are not vertebrates","False"
"horses are not herbivores","False"
"horses are not warm-blooded","False"
"horses have feathers","False"
"horses have gills","False"
"horses have scales","False"
"horses have whiskers like cats","False"
"horses have hooves like rabbits","False"
"horses are made of scales","False"
"horses are made of wood","False"
"horses are made of water","False"
"horses are made of bone and feathers","False"
"horses are made of chitin","False"
"horses can fly","False"
"horses can breathe underwater","False"
"horses can climb trees","False"
"horses can change color","False"
"horses can see in complete darkness","False"
"horses eat meat","False"
"horses eat fish","False"
"horses eat insects","False"
"horses eat other horses","False"
"horses eat chicken","False"
"horses live in oceans","False"
"horses live in trees","False"
"horses live underground","False"
"horses live in rivers","False"
"horses live in caves exclusively","False"
"horses are bigger than whales","False"
"horses are bigger than cows","False"
"horses are bigger than elephants","False"
"horses are bigger than cattle","False"
"horses are faster than cheetahs","False"
"horses are faster than peregrine falcons","False"
"horses are faster than greyhounds","False"
"horses are faster than hares","False"
"horses are faster than pronghorns","False"
"cows are reptiles","False"
"cows are fish","False"
"cows are birds","False"
"cows are amphibians","False"
"cows are insects","False"
"cows are like snakes","False"
"cows are like chickens","False"
"cows are like fish","False"
"cows are like frogs","False"
"cows are like rabbits","False"
"cows are not mammals","False"
"cows are not animals","False"
"cows are not vertebrates","False"
"cows are not herbivores","False"
"cows are not warm-blooded","False"
"cows have feathers","False"
"cows have scales","False"
"cows have gills","False"
"cows have fins","False"
"cows have fur like mice","False"
"cows are made of scales","False"
"cows are made of water","False"
"cows are made of metal","False"
"cows are made of bone entirely","False"
"cows are made of stone","False"
"cows can fly","False"
"cows can swim underwater","False"
"cows can breathe water","False"
"cows can climb trees","False"
"cows can move faster than dogs","False"
"cows eat meat","False"
"cows eat fish","False"
"cows eat insects","False"
"cows eat other cows","False"
"cows eat birds","False"
"cows live in oceans","False"
"cows live in rivers","False"
"cows live in deserts","False"
"cows live in trees","False"
"cows live underground","False"
"cows are bigger than horses","False"
"cows are bigger than elephants","False"
"cows are bigger than whales","False"
"cows are faster than horses","False"
"cows are faster than dogs","False"
"cows are faster than cheetahs","False"
"cows are faster than rabbits","False"
"mice are reptiles","False"
"mice are fish","False"
"mice are insects","False"
"mice are birds","False"
"mice are amphibians","False"
"mice are like snakes","False"
"mice are like chickens","False"
"mice are like frogs","False"
"mice are like fish","False"
"mice are like horses","False"
"mice are not mammals","False"
"mice are not animals","False"
"mice are not vertebrates","False"
"mice are not rodents","False"
"mice are not warm-blooded","False"
"mice have feathers","False"
"mice have scales","False"
"mice have gills","False"
"mice have hooves","False"
"mice have tusks","False"
"mice are made of scales","False"
"mice are made of feathers","False"
"mice are made of shells","False"
"mice are made of wood","False"
"mice are made of stone","False"
"mice can fly","False"
"mice can breathe underwater","False"
"mice can see in complete darkness","False"
"mice can jump fifty feet high","False"
"mice can live without food for a year","False"
"mice eat meat exclusively","False"
"mice eat grass as their primary food","False"
"mice eat fish","False"
"mice eat insects only","False"
"mice eat stone","False"
"mice live in oceans","False"
"mice live in trees exclusively","False"
"mice live in rivers","False"
"mice live on mountains above snow line","False"
"mice live in deserts exclusively","False"
"mice are bigger than cats","False"
"mice are bigger than horses","False"
"mice are bigger than dogs","False"
"mice are bigger than cows","False"
"mice are bigger than rabbits","False"
"mice are faster than horses","False"
"mice are faster than dogs","False"
"mice are faster than snakes","False"
"mice are faster than rabbits","False"
"mice are faster than chickens","False"
"chickens are mammals","False"
"chickens are reptiles","False"
"chickens are fish","False"
"chickens are insects","False"
"chickens are mollusks","False"
"chickens are like snakes","False"
"chickens are like fish","False"
"chickens are like mice","False"
"chickens are like rabbits","False"
"chickens are like horses","False"
"chickens are not birds","False"
"chickens are not vertebrates","False"
"chickens are not animals","False"
"chickens are not warm-blooded","False"
"chickens are not poultry","False"
"chickens have udders","False"
"chickens have scales","False"
"chickens have fins","False"
"chickens have horns","False"
"chickens have fur","False"
"chickens are made of scales","False"
"chickens are made of fur","False"
"chickens are made of bone and cartilage only","False"
"chickens are made of water and minerals","False"
"chickens are made of feathers exclusively","False"
"chickens can swim underwater","False"
"chickens can fly for hours","False"
"chickens can breathe underwater","False"
"chickens can see in complete darkness","False"
"chickens can run faster than dogs","False"
"chickens eat hay","False"
"chickens eat grass exclusively","False"
"chickens eat fish","False"
"chickens eat meat only","False"
"chickens eat leaves and bark","False"
"chickens live in oceans","False"
"chickens live in forests","False"
"chickens live in burrows","False"
"chickens live in rivers","False"
"chickens live in caves","False"
"chickens are bigger than horses","False"
"chickens are bigger than cows","False"
"chickens are bigger than dogs","False"
"chickens are bigger than cats","False"
"chickens are bigger than rabbits","False"
"chickens are faster than horses","False"
"chickens are faster than dogs","False"
"chickens are faster than rabbits","False"
"fish are mammals","False"
"fish are reptiles","False"
"fish are insects","False"
"fish are plants","False"
"fish are fungi","False"
"fish are like birds","False"
"fish are like horses","False"
"fish are like rabbits","False"
"fish are like chickens","False"
"fish are like cows","False"
"fish are not animals","False"
"fish are not vertebrates","False"
"fish are not aquatic","False"
"fish are not cold-blooded","False"
"fish are not swimmers","False"
"fish have fur","False"
"fish have feathers","False"
"fish have hooves","False"
"fish have whiskers","False"
"fish have wings","False"
"fish are made of feathers","False"
"fish are made of hair","False"
"fish are made of wool","False"
"fish are made of bone only","False"
"fish are made of rubber","False"
"fish can fly","False"
"fish can climb trees","False"
"fish can bark","False"
"fish can live on land permanently","False"
"fish can breathe air like dogs","False"
"fish eat grass","False"
"fish eat hay","False"
"fish eat seeds only","False"
"fish eat carrots","False"
"fish eat leaves","False"
"fish live in trees","False"
"fish live in caves underground","False"
"fish live in meadows","False"
"fish live in deserts","False"
"fish live in mountains","False"
"fish are bigger than horses","False"
"fish are bigger than cows","False"
"fish are bigger than whales","False"
"fish are bigger than elephants","False"
"fish are bigger than dogs on average","False"
"fish are faster than rabbits","False"
"fish are faster than horses on land","False"
"fish are faster than snakes","False"
"fish are faster than falcons","False"
"fish are faster than cheetahs","False"
"snakes are mammals","False"
"snakes are birds","False"
"snakes are insects","False"
"snakes are amphibians","False"
"snakes are fish","False"
"snakes are like dogs","False"
"snakes are like horses","False"
"snakes are like chickens","False"
"snakes are like rabbits","False"
"snakes are like cows","False"
"snakes are not reptiles","False"
"snakes are not animals","False"
"snakes are not vertebrates","False"
"snakes are not carnivores","False"
"snakes are not cold-blooded","False"
"snakes have legs","False"
"snakes have fur","False"
"snakes have feathers","False"
"snakes have wings","False"
"snakes have external ears","False"
"snakes are made of feathers","False"
"snakes are made of scales that fall off like fur","False"
"snakes are made of bone and hair","False"
"snakes are made of chitin","False"
"snakes are made of wool","False"
"snakes can fly","False"
"snakes can bark like dogs","False"
"snakes can swim in all oceans as well as fish","False"
"snakes can climb trees at the same speed as rabbits","False"
"snakes can produce milk","False"
"snakes eat grass","False"
"snakes eat grain like chickens","False"
"snakes eat leaves like cows","False"
"snakes eat insects like frogs do","False"
"snakes eat seeds and plants","False"
"snakes live in oceans deeper than most fish","False"
"snakes live in trees exclusively","False"
"snakes live in burrows like rabbits","False"
"snakes live in hives","False"
"snakes live only in deserts","False"
"snakes are bigger than horses","False"
"snakes are bigger than cows","False"
"snakes are generally bigger than rabbits and dogs combined","False"
"snakes are bigger than chickens but smaller than mice","False"
"snakes are bigger than elephants","False"
"snakes are faster than horses","False"
"snakes are faster than dogs in all terrains","False"
"snakes are faster than rabbits","False"
"snakes are faster than cats","False"
"snakes are faster than fish in water","False"
"frogs are mammals","False"
"frogs are birds","False"
"frogs are reptiles","False"
"frogs are insects","False"
"frogs are mollusks","False"
"frogs are like dogs","False"
"frogs are like chickens","False"
"frogs are like snakes","False"
"frogs are like horses","False"
"frogs are like fish","False"
"frogs are not amphibians","False"
"frogs are not animals","False"
"frogs are not vertebrates","False"
"frogs are not carnivores","False"
"frogs are not cold-blooded","False"
"frogs have feathers","False"
"frogs have fur","False"
"frogs have hooves","False"
"frogs have scales","False"
"frogs have shells","False"
"frogs are made of scales","False"
"frogs are made of fur","False"
"frogs are made of feathers","False"
"frogs are made of bone only","False"
"frogs are made of chitin","False"
"frogs can fly","False"
"frogs can breathe underwater permanently","False"
"frogs can survive in saltwater","False"
"frogs can see in complete darkness","False"
"frogs can live without water","False"
"frogs eat grass","False"
"frogs eat seeds","False"
"frogs eat carrion","False"
"frogs eat plants","False"
"frogs eat honey","False"
"frogs live in deserts","False"
"frogs live in mountains only","False"
"frogs live in caves exclusively","False"
"frogs live in trees permanently","False"
"frogs live in oceans","False"
"frogs are bigger than horses","False"
"frogs are bigger than cows","False"
"frogs are bigger than dogs","False"
"frogs are bigger than chickens","False"
"frogs are bigger than rabbits","False"
"frogs are faster than horses","False"
"frogs are faster than dogs","False"
"frogs are faster than cats","False"
"frogs are faster than rabbits","False"
"frogs are faster than snakes","False"
